#NAME?,n Time------,#NAME?,---Lat--,#NAME?,r---Long-,#NAME?,---Dep--,DepEr,r-Mag----,-----Region----Flag--------------------
18/01/2020,19:32:52.82,0.05,35.052,0.13,132.816,0.14,7.9,1.3,0.3v,SHIMANE HIROSHIMA BORDER  A
18/01/2020,19:39:57.50,0.24,37.572,0.71,141.928,1.04,41,,,E OFF FUKUSHIMA PREF  k
18/01/2020,19:40:20.73,0.19,28.442,0.64,129.088,0.53,13.1,2.1,,NEAR AMAMI-OSHIMA ISLAND  s
18/01/2020,19:40:42.50,0.26,24.882,0.93,124.082,0.44,1.1,3.8,1.8V,NW OFF ISHIGAKIJIMA IS  K
18/01/2020,19:43:15.44,0.05,33.119,0.16,132.128,0.15,41.1,0.6,1.8V,BUNGO CHANNEL  K
18/01/2020,19:44:40.67,0.06,39.874,0.19,141.581,0.27,68,0.5,0.7v,NORTHERN IWATE PREF  k
18/01/2020,19:48:15.66,0.09,35.035,0.3,135.153,0.25,11,1.1,0.2v,SE HYOGO PREF  A
18/01/2020,19:52:21.81,0.08,35.679,0.18,138.211,0.2,15.2,1,0.3v,AKAISHI MOUNTAINS REG  A
18/01/2020,19:55:10.81,0.03,33.792,0.1,135.167,0.1,13.3,0.4,1.9V,S PART OF KII CHANNEL  K
18/01/2020,20:03:59.91,0.16,28.443,0.5,129.075,0.53,11.1,1.7,2.2V,NEAR AMAMI-OSHIMA ISLAND  K
18/01/2020,20:07:48.77,0.27,37.275,0.87,141.843,0.94,31,,,E OFF FUKUSHIMA PREF  k
18/01/2020,20:08:28.24,0.05,36.222,0.23,136.755,0.23,5.9,1.4,0.8V,ISHIKAWA PREF  A
18/01/2020,20:09:24.70,0.07,28.154,0.27,129.529,0.22,29.7,0.6,0.8v,NEAR AMAMI-OSHIMA ISLAND  A
18/01/2020,20:16:50.36,0.22,41.8,0.91,143.121,0.9,37.7,1.2,2.4V,S OFF URAKAWA  K
18/01/2020,20:16:53.63,0.04,32.801,0.14,130.808,0.15,9,0.6,0.1V,NW KUMAMOTO PREF  k
18/01/2020,20:31:14.04,0.67,37.226,1.5,142.002,2.94,10,,,E OFF FUKUSHIMA PREF  k
18/01/2020,20:38:17.87,0.15,36.441,0.36,138.045,0.44,6.4,1.9,-0.8v,NEAR MATSUSHIRO  a
18/01/2020,20:44:56.63,0.15,35.984,0.36,140.227,0.44,38.4,1.2,0.6v,SOUTHERN IBARAKI PREF  A
18/01/2020,20:49:24.04,0.07,32.355,0.19,131.881,0.38,15.2,1.1,1.1V,HYUGANADA REGION  k
18/01/2020,20:49:54.05,0.04,31.971,0.13,130.385,0.17,2.9,0.6,0.3V,NW KAGOSHIMA PREF  A
18/01/2020,20:50:28.32,0.12,36.766,0.38,140.694,0.67,90.7,0.8,1.3V,NORTHERN IBARAKI PREF  A
18/01/2020,20:54:24.43,0.29,34.314,0.99,139.896,1.04,19.3,2.4,1.3V,FAR S OFF BOSO PENINSULA  A
18/01/2020,20:56:57.14,0.95,39.404,1.17,143.125,4.52,14,,,FAR E OFF SANRIKU  k
18/01/2020,21:03:01.89,0.18,24.279,0.77,123.716,0.56,14.8,1.4,1.3v,NEAR ISHIGAKIJIMA ISLAND  A
18/01/2020,21:05:31.61,0.46,30.034,1.29,131.335,1.85,28.6,3.8,1.8V,E OFF TANEGASHIMA ISLAND  A
18/01/2020,21:11:25.15,0.08,35.041,0.16,135.601,0.18,12.6,0.7,0.3V,KYOTO OSAKA BORDER REG  k
18/01/2020,21:16:46.90,0.05,44.535,0.89,142.342,1.53,234,,1.8V,KAMIKAWA-SORACHI REGION  k
18/01/2020,21:16:47.33,0.29,27.949,1.01,129.555,1.18,31,,1.0v,NEAR AMAMI-OSHIMA ISLAND  a
18/01/2020,21:23:40.06,0.61,42.108,2.55,142.7,2.23,46.3,4.4,0.5v,S OFF URAKAWA  k
18/01/2020,21:24:46.48,0.05,35.369,0.2,133.892,0.16,8.4,0.7,0.0v,EASTERN TOTTORI PREF  A
18/01/2020,21:24:53.23,0.13,35.686,0.24,138.213,0.26,17.2,1.2,-0.1v,AKAISHI MOUNTAINS REG  A
18/01/2020,21:32:09.52,0.18,42.653,0.32,141.305,0.64,9.9,1.6,0.6v,IBURI REGION  A
18/01/2020,21:36:53.57,0.11,32.762,0.16,129.708,0.46,9.9,1.1,0.9V,NAGASAKI PREF  k
18/01/2020,21:37:05.04,0.04,32.319,0.09,130.463,0.1,9.5,0.6,0.3v,SOUTHERN KUMAMOTO PREF  k
18/01/2020,21:38:22.34,0.25,36.142,0.49,140.825,1.26,49.8,1.6,1.2v,E OFF IBARAKI PREF  A
18/01/2020,21:40:41.93,0.23,41.537,0.53,138.72,1.27,36.8,1.8,1.9V,SW OFF HOKKAIDO  k
18/01/2020,21:45:27.67,0.04,36.267,0.13,138.054,0.16,3.2,0.8,0.0V,CENTRAL NAGANO PREF  k
18/01/2020,21:45:42.45,0.03,33.791,0.11,135.166,0.1,13.3,0.4,1.5V,S PART OF KII CHANNEL  A
18/01/2020,21:47:51.35,0.03,32.497,0.13,130.599,0.16,8.7,0.8,1.0V,SOUTHERN KUMAMOTO PREF  A
18/01/2020,21:50:18.24,0.1,32.047,0.4,131.833,0.44,34.5,0.9,0.4V,HYUGANADA REGION  k
18/01/2020,21:52:04.46,0.07,32.078,0.19,129.981,0.33,6.2,2.7,1.0V,W OFF AMAKUSA ISLAND  k
